participantNr	age	female	BEAST_S	move1	move2	move3	comply1	comply2	comply3	DG_self_SELFISH	DG_self_withSocInfo_SELFISH	DG_self_FAIR	DG_self_withSocInfo_FAIR	factor_S	factor_S2
64	14	0	0.483333333	12536	2664	7183	1	0	0	5	8	8	7	0.593214012	-1.459841452
65	17	0	0.171428571	12496	12416	12320	1	1	1	10	10	10	10	-0.834241689	-2.201301875
66	15	0	0.429112554	12464	4568	2560	1	0	0	5	6	10	10	0.176096121	-1.683476134
67	15	0	0.579401154	5872	12432	2176	0	1	0	0	0	5	5	0.435665832	-1.634524545
68	17	0	0.454559885	2640	2400	2824	0	0	0	10	10	10	10	-0.188846317	-2.051667198
69	14	0	0.607936508	5240	13327	12528	0	1	1	5	5	8	6	0.768455769	-1.433961837
70	14	0	0.909090909	3425	2680	12496	0	0	1	7	10	5	6	1.638643944	-1.261170092
71	15	1	0.076923077	7480	12424	2015	0	1	0	10	10	10	10	-0.69714079	-1.896042072
72	14	0	0.153409091	2567	2136	2392	0	0	0	10	10	10	5	-0.066661402	-1.652726196
73	16	1	0.33015873	13312	12463	11792	1	1	0	5	5	5	5	-0.471960453	-2.029799347
74	15	1	0.312698413	12432	12375	12425	1	1	1	5	5	6	5	-0.107942845	-1.803613328
75	14	0	0.563915149	9831	2055	12449	0	0	1	10	10	9	7	0.461404613	-1.586151884
76	15	0	0.311111111	2048	2576	2760	0	0	0	10	10	8	5	0.290925398	-1.656995828
77	16	0	0.097222222	12512	12608	12672	1	1	1	10	10	10	10	-1.004028607	-2.152755125
78	17	1	0.208471673	2560	2360	2088	0	0	0	5	10	6	5	0.058307833	-1.883981759
79	16	0	0.510917318	5016	3208	2160	0	0	0	10	10	10	10	-0.060811308	-1.934735605
80	15	0	0.370969308	12552	4201	12663	1	0	1	5	4	9	9	-0.035273286	-1.743229629
81	15	0	0.254545455	13424	12464	12544	1	1	1	7	7	7	6	-0.442069482	-1.908072198
82	16	0	0.066666667	3480	2455	11769	0	0	0	5	10	10	5	-0.263793029	-1.871351669
83	15	1	0.31547619	3832	2600	8160	0	0	0	8	10	10	10	-0.101633242	-1.802160655
84	14	0	0.090909091	3752	10376	12464	0	0	1	6	7	6	6	-0.9169268	-1.943963602
85	17	0	0.3004329	2304	2384	2889	0	0	0	5	5	5	3	-0.539715079	-2.1330259
86	14	0	0	12736	12472	12720	1	1	1	5	5	5	5	-1.226898893	-2.028933719
87	13	0	0.600854701	7248	12567	12536	0	1	1	6	10	10	10	0.886680752	-1.300691592
88	15	1	0.361538462	12552	3071	2264	1	0	0	5	10	10	8	0.504918474	-1.54157811
89	13	1	0.490277778	4888	12456	12424	0	1	1	5	7	5	5	0.555336058	-1.388772104
90	16	0	0.238730159	8872	2615	6496	0	0	0	5	6	6	6	-0.599489198	-2.048199222
91	13	0	0.264052288	2424	3328	12576	0	0	1	10	10	10	10	-0.622694265	-1.803291155
92	14	0	0	12744	12584	12640	1	1	1	10	10	5	5	NA	NA
93	15	0	0.353968254	4543	5400	3736	0	0	0	10	10	9	6	0.187006732	-1.708283583
94	16	1	0.280153754	2896	2896	2560	0	0	0	10	10	6	6	-0.585961346	-2.056150826
95	14	0	0.376172249	4378	2880	2080	0	0	0	10	10	8	10	NA	NA
96	15	0	0.288888889	12423	4111	12456	1	0	1	6	8	6	5	0.380648081	-1.56482462
97	13	0	0.398484848	12432	2655	2600	1	0	0	10	10	10	5	0.830125845	-1.258334294
98	16	0	0.14047619	12520	2144	4288	1	0	0	5	5	5	5	-0.554317883	-1.949092107
99	15	0	0.630871212	12664	3527	2343	1	0	0	10	10	5	5	NA	NA
100	15	0	0.273484848	12496	12527	12440	1	1	1	10	10	6	6	-0.601173902	-1.972319684
101	20	1	0.095833333	14975	14480	14277	1	1	1	10	10	10	10	-1.007209067	-2.506822226
102	19	1	0.228510379	10215	12511	12530	0	1	1	5	5	5	5	-0.356276311	-2.160784577
